Occurrence	Coordonnées
Achéron	39.2348296, 20.4831346
AEgée	36.769676, 35.789487
Afrique	32.5, 7.5
Alexandrie	31.201435, 29.909773
Alger	36.73225, 3.08746
Allobroge	45.69480975, 6.259111
Almodobar	38.70936, -4.17908
Alve	40.82922, -5.5085
Amathonte	34.71292, 33.1429
Andalousie	37.6, -4.5
Angleterre	52.16045, -0.70312
Annecy	45.90621, 6.1267
Antium	41.44795, 12.628995
Arabie	27.5, 42.5
Aragon	41.5, -0.66667
Argos	37.631561, 22.719464
Arménie	40, 45
Asie	29.84064, 89.29688
Astorgue	42.45879, -6.05601
Athènes	37.9728191495, 23.7237438519
Aventin	41.883333, 12.483333
Averne	40.838333, 14.075
Babylone	32.5387834636, 44.4236176449
Barcelone	41.38879, 2.15899
Belgrade	44.80401, 20.46513
Bordeaux	44.84044, -0.5805
Bretagne	48.16667, -2.83333
Burgos	42.34106, -3.70184
Byzance	41.005902, 28.9738815
Caire	30.06263, 31.24967
Calabre	39, 16.5
Capitole	41.8925778, 12.4822154
Castille	41, -3.5
Chaldée	40.5, 39.5
Chine	35, 105
Cilicie	36.25, 33.25
Comagène	36.526222, 37.9555335
Conciergerie	48.85588, 2.34685
Consuegre	39.46246, -3.608
Corinthe	37.8980016198, 22.8999795422
Crète	35.0627201667, 24.9469437222
Cythère	36.2400122314, 22.9829428015
Danube	45.33333, 29.66667
Égypte	27, 30
Élide	37.75, 21.25
Épidaure	37.6334625, 23.16015635
Epire	39.5771060055, 20.589832047
Éryce	38.03704, 12.58653
Espagne	40, -4
Éthiopie	9, 39.5
Etna	37.75029, 14.99466
Euphrate	34.606583632, 41.3596819651
Europe	48.69096, 9.14062
Florence	43.77925, 11.24626
France	46, 2
Gaïette	41.21408, 13.57082
Galice	42.75508, -7.86621
Gange	23.36667, 90.53333
Gaule	45.57717715, 2.49095881905
Gaules	45.57717715, 2.49095881905
Germanie	52.5, 7.5
Grande-Bretagne	54.75844, -2.69531
Grèce	39, 22
Grenade	12.11667, -61.66667
Guyane	4, -56
Halicarnasse	37.042901, 27.420201
Haly	41.6767598, 35.9295291
Hellespont	40.2, 26.4
Hircanie	37.1, 56.3
Ilion	39.740892, 20.552904
Inde	22.5, 77.5
Italie	42.83333, 12.83333
Islande	65, -18
Ithaque	38.44193, 20.638399
Lara	42.13896, -3.46111
Lemnos	39.916667, 25.25
Léon	42.66667, -6
Leon	42.66667, -6
Lerne	37.5512409, 22.7183258
Lesbos	39.2074811, 26.1342123
Liban	33.83333, 35.83333
Libye	28.9188417513, 22.0840920328
Lycie	36.5135325, 29.129311
Louvre	48.86102, 2.33587
Japon	35.68536, 139.75309
Jérusalem	31.776679, 35.234156
Jourdain	33.1864496, 35.6191595
Judée	31.928333, 35.238333
Naxe	37.05, 25.49
Madrid	40.4165, -3.70256
mer Egée	37.4126570185, 25.8014773544
Messène	37.179299, 21.92169
Messénie	37.25, 21.83333
Messine	38.19394, 15.55256
Meuse	51.71278, 4.8345
Mexique	23, -102
Mitilène	39.110475, 26.547048
Modique	36.85868, 14.75966
Moncade	41.48333, 2.18333
mont Ithomé	37.179299, 21.92169
Moscovie	55.75222, 37.61556
Murcie	38, -1.5
Mycènes	37.7300345711, 22.7540710459
Naples	40.85216, 14.26811
Naple	40.85216, 14.26811
Némée	37.808904, 22.7108171
Normandie	49.19906, 0.49988
Oetolie	38.5079025133, 21.7425252978
Olympe	40.085556, 22.358611
Orgas	39.64826, -3.87577
Orillane	-0.16667, -49
Osse	39.7957751, 22.6851958
Ossone	45.50708, 8.89314
Ostie	41.754855, 12.287656
Palerme	38.13205, 13.33561
Palestine	31.25, 34.75
Paphe	34.757212, 32.406593
Paris	48.85341, 2.3488
Parnasse	38.535435, 22.621902
Pélion	39.25, 23.25
Pénée	37.75, 21.25
Pérou	-10, -75.25
Perse	32, 53
Persépolis	29.9353403333, 52.889437
Pharsale	39.30915475, 22.3563245
Phase	42.1237505, 42.2161531
Phocide	38.5, 22.25
Pise	43.70853, 10.4036
Pô	44.97472, 12.05444
Portugal	39.6945, -8.13057
Pouzzole	40.84394, 14.0952
Reims	49.25, 4.03333
Rhin	51.97198, 5.91545
Ribagorce	42.25, 0.5
Rome	41.891775, 12.486137
Rome	41.89193, 12.51133
Salamanque	40.96882, -5.66388
Salamine	37.93, 23.51
Salerne	40.67545, 14.79328
Saragosse	41.65606, -0.87734
Sardaigne	40, 9
Sassaris	40.72586, 8.55552
Scythie	42.5, 27.5
Seine	49.44469, 0.38177
Séville	37.38283, -5.97317
Sicile	37.75, 14.25
Sion	31.776679, 35.234156
Sparte	37.077905, 22.4272985
Sora	41.71829, 13.61356
Suse	32.1887935, 48.2537285
Syrie	37.5, 37.5
Tage	38.6764, -9.27933
Ténare	36.5306726123, 22.5982376992
Thèbes	38.319156, 23.317577
Thessalie	37.5, 22.5
Tibre	41.74032, 12.23371
Tolède	39.8581, -4.02263
Tormes	41.29245, -6.47995
Transylvanie	46.5, 25
Troie	39.9574327844, 26.2384586227
Tuileries	48.86308, 2.32841
Tunis	36.81897, 10.16579
Tyr	33.2698475, 35.2038435
Valence	39.46975, -0.37739
Thessalie	37.5, 22.5
Thessalie	37.5, 22.5
Vas	42.20187, 2.69748
Vésuve	40.82293, 14.42874
mer Égée	37.4126570185, 25.8014773544
